股票代码,股票名称,所属行业
600487,亨通光电,通信线缆及配套
601869,长飞光纤,通信线缆及配套
600522,中天科技,通信线缆及配套
000070,特发信息,通信线缆及配套
002491,通鼎互联,通信线缆及配套
600105,永鼎股份,通信线缆及配套
000586,汇源通信,通信线缆及配套
920640,富士达,通信线缆及配套
688143,长盈通,通信线缆及配套
300913,兆龙互连,通信线缆及配套
300563,神宇股份,通信线缆及配套
603042,华脉科技,通信线缆及配套
600988,赤峰黄金,贵金属
600547,山东黄金,贵金属
000975,山金国际,贵金属
000506,招金黄金,贵金属
600489,中金黄金,贵金属
300139,晓程科技,贵金属
001337,四川黄金,贵金属
601069,西部黄金,贵金属
002155,湖南黄金,贵金属
002237,恒邦股份,贵金属
002716,湖南白银,贵金属
000603,盛达资源,贵金属
000426,兴业银锡,贵金属
000592,平潭发展,林业Ⅲ
002679,福建金森,林业Ⅲ
600265,ST景谷,林业Ⅲ
000663,永安林业,林业Ⅲ
000592,平潭发展,林业Ⅱ
002679,福建金森,林业Ⅱ
600265,ST景谷,林业Ⅱ
000663,永安林业,林业Ⅱ
300364,中文在线,文字媒体
603533,掌阅科技,文字媒体
002501,利源股份,工业金属
002578,闽发铝业,工业金属
601388,怡球资源,工业金属
002160,常铝股份,工业金属
002532,天山铝业,工业金属
000807,云铝股份,工业金属
300337,银邦股份,工业金属
603876,鼎胜新材,工业金属
600595,中孚实业,工业金属
600219,南山铝业,工业金属
603271,永杰新材,工业金属
002988,豪美新材,工业金属
300057,万顺新材,工业金属
601600,中国铝业,工业金属
601702,华峰铝业,工业金属
000612,焦作万方,工业金属
601677,明泰铝业,工业金属
600768,宁波富邦,工业金属
603937,丽岛新材,工业金属
600361,创新新材,工业金属
002824,和胜股份,工业金属
000933,神火股份,工业金属
002379,宏桥控股,工业金属
002996,顺博合金,工业金属
002540,亚太科技,工业金属
600888,新疆众和,工业金属
300328,宜安科技,工业金属
600338,西藏珠峰,工业金属
000758,中色股份,工业金属
601212,白银有色,工业金属
600961,株冶集团,工业金属
603527,众源新材,工业金属
003038,鑫铂股份,工业金属
601020,华钰矿业,工业金属
600490,鹏欣资源,工业金属
002171,楚江新材,工业金属
002114,罗平锌电,工业金属
000737,北方铜业,工业金属
300697,电工合金,工业金属
600531,豫光金铅,工业金属
000060,中金岭南,工业金属
000751,锌业股份,工业金属
601899,紫金矿业,工业金属
600497,驰宏锌锗,工业金属
000630,铜陵有色,工业金属
002295,精艺股份,工业金属
601168,西部矿业,工业金属
603132,金徽股份,工业金属
601609,金田股份,工业金属
600362,江西铜业,工业金属
600711,盛屯矿业,工业金属
000688,国城矿业,工业金属
600615,鑫源智造,工业金属
000878,云南铜业,工业金属
920634,新威凌,工业金属
603993,洛阳钼业,工业金属
603979,金诚信,工业金属
002203,海亮股份,工业金属
605208,永茂泰,工业金属
600359,新农开发,其他种植业
600540,新赛股份,其他种植业
600108,亚盛集团,其他种植业
603336,宏辉果蔬,其他种植业
601118,海南橡胶,其他种植业
002858,力盛体育,体育Ⅲ
600158,中体产业,体育Ⅲ
002858,力盛体育,体育Ⅱ
600158,中体产业,体育Ⅱ
003042,中农联合,农药
603585,苏利股份,农药
603086,先达股份,农药
600486,扬农化工,农药
603599,广信股份,农药
603639,海利尔,农药
600389,江山股份,农药
603360,百傲化学,农药
600731,湖南海利,农药
300804,广康生化,农药
603970,中农立华,农药
301665,泰禾股份,农药
002734,利民股份,农药
002391,长青股份,农药
001231,农心科技,农药
002749,国光股份,农药
002258,利尔化学,农药
300575,中旗股份,农药
301035,润丰股份,农药
002942,新农股份,农药
920866,绿亨科技,农药
600596,新安股份,农药
920819,颖泰生物,农药
002513,蓝丰生化,农药
603810,丰山集团,农药
300261,雅本化学,农药
002215,诺 普 信,农药
000553,安道麦A,农药
002496,*ST辉丰,农药
000525,红太阳,农药
300796,贝斯美,农药
002250,联化科技,农药
605033,美邦股份,农药
200553,安道麦B,农药
603737,三棵树,涂料
603378,亚士创能,涂料
600724,宁波富达,房产租赁经纪
002285,世联行,房产租赁经纪
000560,我爱我家,房产租赁经纪
600118,中国卫星,航天装备Ⅲ
600879,航天电子,航天装备Ⅲ
688523,航天环宇,航天装备Ⅲ
601698,中国卫通,航天装备Ⅲ
003009,中天火箭,航天装备Ⅲ
688818,电科蓝天,航天装备Ⅲ
688282,理工导航,航天装备Ⅲ
002829,星网宇达,航天装备Ⅲ
300722,新余国科,航天装备Ⅲ
600118,中国卫星,航天装备Ⅱ
600879,航天电子,航天装备Ⅱ
688523,航天环宇,航天装备Ⅱ
601698,中国卫通,航天装备Ⅱ
003009,中天火箭,航天装备Ⅱ
688818,电科蓝天,航天装备Ⅱ
688282,理工导航,航天装备Ⅱ
002829,星网宇达,航天装备Ⅱ
300722,新余国科,航天装备Ⅱ
300385,雪浪环境,大气治理
003027,同兴科技,大气治理
603177,德创环保,大气治理
603315,福鞍股份,大气治理
920263,中航泰达,大气治理
300056,中创环保,大气治理
920802,保丽洁,大气治理
600292,电投水电,大气治理
920078,族兴新材,其他金属新材料
920576,天力复合,其他金属新材料
688102,斯瑞新材,其他金属新材料
605376,博迁新材,其他金属新材料
688456,有研粉材,其他金属新材料
601137,博威合金,其他金属新材料
301522,上大股份,其他金属新材料
605158,华达新材,其他金属新材料
000633,合金投资,其他金属新材料
688190,云路股份,其他金属新材料
603045,福达合金,其他金属新材料
000969,安泰科技,其他金属新材料
600255,鑫科材料,其他金属新材料
603978,深圳新星,其他金属新材料
300930,屹通新材,其他金属新材料
300963,中洲特材,其他金属新材料
688231,隆达股份,其他金属新材料
920751,惠同新材,其他金属新材料
300855,图南股份,其他金属新材料
603124,江南新材,其他金属新材料
600970,中材国际,国际工程
000065,北方国际,国际工程
002051,中工国际,国际工程
000928,中钢国际,国际工程
920078,族兴新材,有色金属
920576,天力复合,有色金属
002501,利源股份,有色金属
002578,闽发铝业,有色金属
601388,怡球资源,有色金属
002160,常铝股份,有色金属
002532,天山铝业,有色金属
000807,云铝股份,有色金属
300337,银邦股份,有色金属
603876,鼎胜新材,有色金属
600595,中孚实业,有色金属
600988,赤峰黄金,有色金属
002149,西部材料,有色金属
600219,南山铝业,有色金属
603271,永杰新材,有色金属
002988,豪美新材,有色金属
600547,山东黄金,有色金属
300057,万顺新材,有色金属
601600,中国铝业,有色金属
601702,华峰铝业,有色金属
000975,山金国际,有色金属
000612,焦作万方,有色金属
002192,融捷股份,有色金属
688102,斯瑞新材,有色金属
601677,明泰铝业,有色金属
000506,招金黄金,有色金属
600489,中金黄金,有色金属
002428,云南锗业,有色金属
600361,创新新材,有色金属
600768,宁波富邦,有色金属
603937,丽岛新材,有色金属
001280,中国铀业,有色金属
002824,和胜股份,有色金属
300139,晓程科技,有色金属
001337,四川黄金,有色金属
000933,神火股份,有色金属
002379,宏桥控股,有色金属
601069,西部黄金,有色金属
002155,湖南黄金,有色金属
002996,顺博合金,有色金属
600888,新疆众和,有色金属
300835,龙磁科技,有色金属
002540,亚太科技,有色金属
605376,博迁新材,有色金属
000962,东方钽业,有色金属
300328,宜安科技,有色金属
002237,恒邦股份,有色金属
000758,中色股份,有色金属
301323,新莱福,有色金属
601212,白银有色,有色金属
600338,西藏珠峰,有色金属
603527,众源新材,有色金属
688456,有研粉材,有色金属
600961,株冶集团,有色金属
600301,华锡有色,有色金属
003038,鑫铂股份,有色金属
601020,华钰矿业,有色金属
601137,博威合金,有色金属
002716,湖南白银,有色金属
688786,悦安新材,有色金属
002738,中矿资源,有色金属
600490,鹏欣资源,有色金属
002842,翔鹭钨业,有色金属
002171,楚江新材,有色金属
002114,罗平锌电,有色金属
002978,安宁股份,有色金属
600456,宝钛股份,有色金属
600531,豫光金铅,有色金属
000737,北方铜业,有色金属
300697,电工合金,有色金属
000751,锌业股份,有色金属
600497,驰宏锌锗,有色金属
301522,上大股份,有色金属
000060,中金岭南,有色金属
301026,浩通科技,有色金属
002182,宝武镁业,有色金属
605158,华达新材,有色金属
601899,紫金矿业,有色金属
000633,合金投资,有色金属
000603,盛达资源,有色金属
000630,铜陵有色,有色金属
601958,金钼股份,有色金属
002295,精艺股份,有色金属
601168,西部矿业,有色金属
688190,云路股份,有色金属
603072,天和磁材,有色金属
000657,中钨高新,有色金属
601609,金田股份,有色金属
603045,福达合金,有色金属
603132,金徽股份,有色金属
000762,西藏矿业,有色金属
000969,安泰科技,有色金属
600255,鑫科材料,有色金属
600459,贵研铂业,有色金属
688750,金天钛业,有色金属
002240,盛新锂能,有色金属
000688,国城矿业,有色金属
000795,英洛华,有色金属
600362,江西铜业,有色金属
000426,兴业银锡,有色金属
603978,深圳新星,有色金属
600366,宁波韵升,有色金属
600711,盛屯矿业,有色金属
002460,赣锋锂业,有色金属
300930,屹通新材,有色金属
600392,盛和资源,有色金属
301141,中科磁业,有色金属
002167,东方锆业,有色金属
600615,鑫源智造,有色金属
300963,中洲特材,有色金属
300748,金力永磁,有色金属
600281,华阳新材,有色金属
000878,云南铜业,有色金属
300811,铂科新材,有色金属
603399,永杉锂业,有色金属
002378,章源钨业,有色金属
603799,华友钴业,有色金属
000960,锡业股份,有色金属
920068,天工股份,有色金属
920634,新威凌,有色金属
600111,北方稀土,有色金属
688231,隆达股份,有色金属
920751,惠同新材,有色金属
301622,英思特,有色金属
603993,洛阳钼业,有色金属
600259,中稀有色,有色金属
603979,金诚信,有色金属
002203,海亮股份,有色金属
000831,中国稀土,有色金属
002466,天齐锂业,有色金属
300224,正海磁材,有色金属
301219,腾远钴业,有色金属
002756,永兴材料,有色金属
300855,图南股份,有色金属
300618,寒锐钴业,有色金属
000970,中科三环,有色金属
600549,厦门钨业,有色金属
605208,永茂泰,有色金属
603124,江南新材,有色金属
300127,银河磁体,有色金属
688077,大地熊,有色金属
600127,金健米业,粮油加工
000505,京粮控股,粮油加工
000019,深粮控股,粮油加工
603182,嘉华股份,粮油加工
002852,道道全,粮油加工
300999,金龙鱼,粮油加工
603231,索宝蛋白,粮油加工
200019,深粮B,粮油加工
200505,京粮B,粮油加工
000638,*ST万方,粮油加工
002772,众兴菌业,食用菌
300970,华绿生物,食用菌
300511,雪榕生物,食用菌
600883,博闻科技,食用菌
003042,中农联合,农化制品
603585,苏利股份,农化制品
603086,先达股份,农化制品
603599,广信股份,农化制品
600486,扬农化工,农化制品
603639,海利尔,农化制品
600389,江山股份,农化制品
603360,百傲化学,农化制品
600731,湖南海利,农化制品
603077,和邦生物,农化制品
300804,广康生化,农化制品
002470,金正大,农化制品
603970,中农立华,农化制品
301665,泰禾股份,农化制品
600141,兴发集团,农化制品
600426,华鲁恒升,农化制品
002588,史丹利,农化制品
002734,利民股份,农化制品
920159,农大科技,农化制品
002391,长青股份,农化制品
002895,川恒股份,农化制品
001231,农心科技,农化制品
002545,东方铁塔,农化制品
600078,澄星股份,农化制品
002749,国光股份,农化制品
600227,赤天化,农化制品
002258,利尔化学,农化制品
300575,中旗股份,农化制品
301035,润丰股份,农化制品
002999,天禾股份,农化制品
002942,新农股份,农化制品
000902,新洋丰,农化制品
002312,川发龙蟒,农化制品
300387,富邦科技,农化制品
000422,湖北宜化,农化制品
600596,新安股份,农化制品
002170,芭田股份,农化制品
920866,绿亨科技,农化制品
920819,颖泰生物,农化制品
002539,云图控股,农化制品
002513,蓝丰生化,农化制品
603810,丰山集团,农化制品
600096,云天化,农化制品
000408,藏格矿业,农化制品
300261,雅本化学,农化制品
002215,诺 普 信,农化制品
603395,红四方,农化制品
000553,安道麦A,农化制品
000525,红太阳,农化制品
002250,联化科技,农化制品
300796,贝斯美,农化制品
600470,六国化工,农化制品
605033,美邦股份,农化制品
002496,*ST辉丰,农化制品
600331,宏达股份,农化制品
000912,泸天化,农化制品
000792,盐湖股份,农化制品
000893,亚钾国际,农化制品
000731,四川美丰,农化制品
300505,川金诺,农化制品
600691,潞化科技,农化制品
200553,安道麦B,农化制品
002538,司尔特,农化制品
000615,*ST美谷,医美服务
300683,海特生物,医疗研发外包
301230,泓博医药,医疗研发外包
688710,益诺思,医疗研发外包
603127,昭衍新药,医疗研发外包
688202,美迪西,医疗研发外包
301333,诺思格,医疗研发外包
300363,博腾股份,医疗研发外包
603456,九洲药业,医疗研发外包
688222,成都先导,医疗研发外包
301201,诚达药业,医疗研发外包
300759,康龙化成,医疗研发外包
600721,百花医药,医疗研发外包
301520,万邦医药,医疗研发外包
688796,百奥赛图,医疗研发外包
300404,博济医药,医疗研发外包
300725,药石科技,医疗研发外包
300149,睿智医药,医疗研发外包
002821,凯莱英,医疗研发外包
688265,南模生物,医疗研发外包
688238,和元生物,医疗研发外包
688621,阳光诺和,医疗研发外包
301509,金凯生科,医疗研发外包
300347,泰格医药,医疗研发外包
301096,百诚医药,医疗研发外包
301257,普蕊斯,医疗研发外包
603259,药明康德,医疗研发外包
688073,毕得医药,医疗研发外包
688046,药康生物,医疗研发外包
688131,皓元医药,医疗研发外包
605055,迎丰股份,印染
605189,富春染织,印染
600987,航民股份,印染
600448,华纺股份,印染
002470,金正大,复合肥
002588,史丹利,复合肥
920159,农大科技,复合肥
002999,天禾股份,复合肥
000902,新洋丰,复合肥
300387,富邦科技,复合肥
002170,芭田股份,复合肥
002539,云图控股,复合肥
603395,红四方,复合肥
002538,司尔特,复合肥
603122,合富中国,其他医疗服务
688315,诺禾致源,其他医疗服务
603108,润达医疗,其他医疗服务
000504,*ST生物,其他医疗服务
920670,数字人,其他医疗服务
603061,金海通,半导体设备
688409,富创精密,半导体设备
688120,华海清科,半导体设备
688200,华峰测控,半导体设备
688012,中微公司,半导体设备
003043,华亚智能,半导体设备
688072,拓荆科技,半导体设备
002371,北方华创,半导体设备
688361,中科飞测,半导体设备
301629,矽电股份,半导体设备
300604,长川科技,半导体设备
688037,芯源微,半导体设备
301297,富乐德,半导体设备
688478,晶升股份,半导体设备
688652,京仪装备,半导体设备
688419,耐科装备,半导体设备
688729,屹唐股份,半导体设备
688605,先锋精科,半导体设备
688082,盛美上海,半导体设备
301369,联动科技,半导体设备
603690,至纯科技,半导体设备
688147,微导纳米,半导体设备
002788,鹭燕医药,医药流通
603716,塞力医疗,医药流通
301015,百洋医药,医药流通
600998,九州通,医药流通
600713,南京医药,医药流通
000028,国药一致,医药流通
000950,重药控股,医药流通
600829,人民同泰,医药流通
600511,国药股份,医药流通
002589,瑞康医药,医药流通
000078,海王生物,医药流通
000705,浙江震元,医药流通
600056,中国医药,医药流通
603368,柳药集团,医药流通
601607,上海医药,医药流通
000411,英特集团,医药流通
002390,信邦制药,医药流通
002462,嘉事堂,医药流通
300937,药易购,医药流通
301584,建发致新,医药流通
200028,一致Ｂ,医药流通
900943,开开Ｂ股,医药流通
301126,达嘉维康,医药流通
600272,开开实业,医药流通
002788,鹭燕医药,医药商业
603716,塞力医疗,医药商业
301015,百洋医药,医药商业
301017,漱玉平民,医药商业
600998,九州通,医药商业
301408,华人健康,医药商业
600713,南京医药,医药商业
000028,国药一致,医药商业
000950,重药控股,医药商业
603939,益丰药房,医药商业
600829,人民同泰,医药商业
600511,国药股份,医药商业
002727,一心堂,医药商业
002589,瑞康医药,医药商业
000078,海王生物,医药商业
603233,大参林,医药商业
000705,浙江震元,医药商业
600056,中国医药,医药商业
605266,健之佳,医药商业
603368,柳药集团,医药商业
601607,上海医药,医药商业
603883,老百姓,医药商业
000411,英特集团,医药商业
002390,信邦制药,医药商业
002462,嘉事堂,医药商业
300937,药易购,医药商业
600833,第一医药,医药商业
301584,建发致新,医药商业
200028,一致Ｂ,医药商业
900943,开开Ｂ股,医药商业
301126,达嘉维康,医药商业
600272,开开实业,医药商业
301017,漱玉平民,线下药店
301408,华人健康,线下药店
603939,益丰药房,线下药店
002727,一心堂,线下药店
603233,大参林,线下药店
605266,健之佳,线下药店
603883,老百姓,线下药店
600833,第一医药,线下药店
688272,富吉瑞,军工电子Ⅲ
301306,西测测试,军工电子Ⅲ
688552,航天南湖,军工电子Ⅲ
002413,雷科防务,军工电子Ⅲ
688375,国博电子,军工电子Ⅲ
001270,*ST铖昌,军工电子Ⅲ
688682,霍莱沃,军工电子Ⅲ
000547,航天发展,军工电子Ⅲ
300762,上海瀚讯,军工电子Ⅲ
600590,泰豪科技,军工电子Ⅲ
002025,航天电器,军工电子Ⅲ
688053,ST思科瑞,军工电子Ⅲ
002935,天奥电子,军工电子Ⅲ
301571,国科天成,军工电子Ⅲ
688081,兴图新科,军工电子Ⅲ
688011,新光光电,军工电子Ⅲ
688002,睿创微纳,军工电子Ⅲ
600562,国睿科技,军工电子Ⅲ
688636,智明达,军工电子Ⅲ
301517,陕西华达,军工电子Ⅲ
002446,盛路通信,军工电子Ⅲ
600855,航天长峰,军工电子Ⅲ
300629,新劲刚,军工电子Ⅲ
002151,北斗星通,军工电子Ⅲ
002383,合众思壮,军工电子Ⅲ
300397,天和防务,军工电子Ⅲ
300447,全信股份,军工电子Ⅲ
688311,盟升电子,军工电子Ⅲ
301050,雷电微力,军工电子Ⅲ
002465,海格通信,军工电子Ⅲ
301592,六九一二,军工电子Ⅲ
301682,C宏明,军工电子Ⅲ
300045,华力创通,军工电子Ⅲ
688776,国光电气,军工电子Ⅲ
002414,高德红外,军工电子Ⅲ
300101,振芯科技,军工电子Ⅲ
300123,亚光科技,军工电子Ⅲ
002179,中航光电,军工电子Ⅲ
300726,宏达电子,军工电子Ⅲ
002338,奥普光电,军工电子Ⅲ
600990,四创电子,军工电子Ⅲ
688511,*ST天微,军工电子Ⅲ
002977,天箭科技,军工电子Ⅲ
300177,中海达,军工电子Ⅲ
920008,成电光信,军工电子Ⅲ
000733,振华科技,军工电子Ⅲ
301213,观想科技,军工电子Ⅲ
688522,纳睿雷达,军工电子Ⅲ
688629,华丰科技,军工电子Ⅲ
603267,鸿远电子,军工电子Ⅲ
300252,金信诺,军工电子Ⅲ
688132,邦彦技术,军工电子Ⅲ
688439,振华风光,军工电子Ⅲ
603712,七一二,军工电子Ⅲ
603678,火炬电子,军工电子Ⅲ
302132,中航成飞,军工电子Ⅲ
002189,中光学,军工电子Ⅲ
300474,景嘉微,军工电子Ⅲ
002214,*ST大立,军工电子Ⅲ
301302,华如科技,军工电子Ⅲ
688084,晶品特装,军工电子Ⅲ
688788,科思科技,军工电子Ⅲ
688175,高凌信息,军工电子Ⅲ
688272,富吉瑞,军工电子Ⅱ
301306,西测测试,军工电子Ⅱ
688552,航天南湖,军工电子Ⅱ
002413,雷科防务,军工电子Ⅱ
688375,国博电子,军工电子Ⅱ
001270,*ST铖昌,军工电子Ⅱ
688682,霍莱沃,军工电子Ⅱ
000547,航天发展,军工电子Ⅱ
300762,上海瀚讯,军工电子Ⅱ
600590,泰豪科技,军工电子Ⅱ
002025,航天电器,军工电子Ⅱ
688053,ST思科瑞,军工电子Ⅱ
002935,天奥电子,军工电子Ⅱ
301571,国科天成,军工电子Ⅱ
688081,兴图新科,军工电子Ⅱ
688011,新光光电,军工电子Ⅱ
688002,睿创微纳,军工电子Ⅱ
600562,国睿科技,军工电子Ⅱ
688636,智明达,军工电子Ⅱ
301517,陕西华达,军工电子Ⅱ
002446,盛路通信,军工电子Ⅱ
600855,航天长峰,军工电子Ⅱ
300629,新劲刚,军工电子Ⅱ
002151,北斗星通,军工电子Ⅱ
002383,合众思壮,军工电子Ⅱ
300397,天和防务,军工电子Ⅱ
300447,全信股份,军工电子Ⅱ
688311,盟升电子,军工电子Ⅱ
301050,雷电微力,军工电子Ⅱ
002465,海格通信,军工电子Ⅱ
300045,华力创通,军工电子Ⅱ
301592,六九一二,军工电子Ⅱ
301682,C宏明,军工电子Ⅱ
688776,国光电气,军工电子Ⅱ
002414,高德红外,军工电子Ⅱ
300101,振芯科技,军工电子Ⅱ
300123,亚光科技,军工电子Ⅱ
002179,中航光电,军工电子Ⅱ
300726,宏达电子,军工电子Ⅱ
002338,奥普光电,军工电子Ⅱ
600990,四创电子,军工电子Ⅱ
688511,*ST天微,军工电子Ⅱ
002977,天箭科技,军工电子Ⅱ
300177,中海达,军工电子Ⅱ
920008,成电光信,军工电子Ⅱ
000733,振华科技,军工电子Ⅱ
301213,观想科技,军工电子Ⅱ
688522,纳睿雷达,军工电子Ⅱ
688629,华丰科技,军工电子Ⅱ
300252,金信诺,军工电子Ⅱ
603267,鸿远电子,军工电子Ⅱ
688132,邦彦技术,军工电子Ⅱ
688439,振华风光,军工电子Ⅱ
603712,七一二,军工电子Ⅱ
603678,火炬电子,军工电子Ⅱ
302132,中航成飞,军工电子Ⅱ
002189,中光学,军工电子Ⅱ
300474,景嘉微,军工电子Ⅱ
002214,*ST大立,军工电子Ⅱ
301302,华如科技,军工电子Ⅱ
688084,晶品特装,军工电子Ⅱ
688788,科思科技,军工电子Ⅱ
688175,高凌信息,军工电子Ⅱ
002149,西部材料,其他小金属
002428,云南锗业,其他小金属
001280,中国铀业,其他小金属
000962,东方钽业,其他小金属
600301,华锡有色,其他小金属
002978,安宁股份,其他小金属
600456,宝钛股份,其他小金属
002182,宝武镁业,其他小金属
301026,浩通科技,其他小金属
600459,贵研铂业,其他小金属
688750,金天钛业,其他小金属
002167,东方锆业,其他小金属
600281,华阳新材,其他小金属
000960,锡业股份,其他小金属
920068,天工股份,其他小金属
603886,元祖股份,烘焙食品
002956,西麦食品,烘焙食品
001219,青岛食品,烘焙食品
300973,立高食品,烘焙食品
603866,桃李面包,烘焙食品
605339,南侨食品,烘焙食品
002719,麦趣尔,烘焙食品
002820,桂发祥,烘焙食品
603043,广州酒家,烘焙食品
603256,宏和科技,玻璃玻纤
301526,国际复材,玻璃玻纤
605006,山东玻纤,玻璃玻纤
300196,长海股份,玻璃玻纤
002201,九鼎新材,玻璃玻纤
002080,中材科技,玻璃玻纤
601636,旗滨集团,玻璃玻纤
600176,中国巨石,玻璃玻纤
600819,耀皮玻璃,玻璃玻纤
000012,南  玻Ａ,玻璃玻纤
900918,耀皮Ｂ股,玻璃玻纤
601112,振石股份,玻璃玻纤
002613,北玻股份,玻璃玻纤
200012,南  玻Ｂ,玻璃玻纤
600876,凯盛新能,玻璃玻纤
600293,三峡新材,玻璃玻纤
600586,金晶科技,玻璃玻纤
603345,安井食品,预加工食品
002661,克明食品,预加工食品
002702,海欣食品,预加工食品
001215,千味央厨,预加工食品
605567,春雪食品,预加工食品
002216,三全食品,预加工食品
603237,五芳斋,预加工食品
605338,巴比食品,预加工食品
603536,惠发食品,预加工食品
605089,味知香,预加工食品
920826,盖世食品,预加工食品
000913,钱江摩托,摩托车
920058,华洋赛车,摩托车
603787,新日股份,摩托车
003033,征和工业,摩托车
601777,千里科技,摩托车
603129,春风动力,摩托车
603776,永安行,摩托车
301345,涛涛车业,摩托车
603766,隆鑫通用,摩托车
603057,紫燕食品,熟食
002695,煌上煌,熟食
603517,ST绝味,熟食
300683,海特生物,医疗服务
301239,普瑞眼科,医疗服务
301230,泓博医药,医疗服务
688710,益诺思,医疗服务
603122,合富中国,医疗服务
603127,昭衍新药,医疗服务
688202,美迪西,医疗服务
301333,诺思格,医疗服务
300363,博腾股份,医疗服务
603456,九洲药业,医疗服务
688222,成都先导,医疗服务
300143,盈康生命,医疗服务
301201,诚达药业,医疗服务
300244,迪安诊断,医疗服务
300759,康龙化成,医疗服务
600721,百花医药,医疗服务
301520,万邦医药,医疗服务
688315,诺禾致源,医疗服务
688796,百奥赛图,医疗服务
603882,金域医学,医疗服务
002173,创新医疗,医疗服务
300404,博济医药,医疗服务
300725,药石科技,医疗服务
301103,何氏眼科,医疗服务
300676,华大基因,医疗服务
603108,润达医疗,医疗服务
002172,澳洋健康,医疗服务
300149,睿智医药,医疗服务
002044,美年健康,医疗服务
002821,凯莱英,医疗服务
688265,南模生物,医疗服务
688238,和元生物,医疗服务
300015,爱尔眼科,医疗服务
688621,阳光诺和,医疗服务
301267,华厦眼科,医疗服务
002524,光正眼科,医疗服务
000504,*ST生物,医疗服务
002622,皓宸医疗,医疗服务
000710,贝瑞基因,医疗服务
301509,金凯生科,医疗服务
000516,国际医学,医疗服务
600763,通策医疗,医疗服务
300347,泰格医药,医疗服务
920670,数字人,医疗服务
301096,百诚医药,医疗服务
301257,普蕊斯,医疗服务
603259,药明康德,医疗服务
301060,兰卫医学,医疗服务
688073,毕得医药,医疗服务
600568,ST中珠,医疗服务
688046,药康生物,医疗服务
301293,三博脑科,医疗服务
688131,皓元医药,医疗服务
002219,新里程,医疗服务
002739,万达电影,院线
603103,横店影视,院线
002905,金逸影视,院线
300528,幸福蓝海,院线
300313,*ST天山,养殖业
000048,京基智农,养殖业
600965,福成股份,养殖业
605296,神农集团,养殖业
002321,华英农业,养殖业
300761,立华股份,养殖业
002458,益生股份,养殖业
600975,新五丰,养殖业
002982,湘佳股份,养殖业
002299,圣农发展,养殖业
000876,新 希 望,养殖业
002124,天邦食品,养殖业
300967,晓鸣股份,养殖业
002746,仙坛股份,养殖业
301116,益客食品,养殖业
300498,温氏股份,养殖业
001201,东瑞股份,养殖业
000735,罗 牛 山,养殖业
002234,民和股份,养殖业
002157,正邦科技,养殖业
603477,巨星农牧,养殖业
002714,牧原股份,养殖业
300313,*ST天山,农林牧渔
600359,新农开发,农林牧渔
000592,平潭发展,农林牧渔
600598,北大荒,农林牧渔
600127,金健米业,农林牧渔
000048,京基智农,农林牧渔
601952,苏垦农发,农林牧渔
920087,秋乐种业,农林牧渔
600540,新赛股份,农林牧渔
000972,*ST中基,农林牧渔
600313,农发种业,农林牧渔
300087,荃银高科,农林牧渔
600371,万向德农,农林牧渔
002772,众兴菌业,农林牧渔
300189,神农种业,农林牧渔
000998,隆平高科,农林牧渔
